BLDG_ID,MAPREF,UNITNUM,STRNUM,STRNAM,BLDGNAM,BLDGAGE,DEVELOPER,ARCHITECT,MOVED
11837,,,TEMP,,,,,,0
11832,,,TEMP,,,,,,0
11831,,,TEMP,,,,,,0
11830,,,TEMP,,,,,,0
11835,,,TEMP,,,,,,0
11839,,,TEMP,,,,,,0
11836,,,TEMP,,,,,,0
11834,,,TEMP,,,,,,0
11829,,,TEMP,,,,,,0
11833,,,TEMP,,,,,,0
11828,,,TEMP,,,,,,0
11934,,,TEMP,,,,,,0
11933,,,TEMP,,,,,,0
11680,,,TEMP,,,,,,0
11838,,,TEMP,,,,,,0
11840,,,TEMP,,,,,,0
11847,5404000,,101,,,2015,Noort Homes,,0
11808,13972014,,200,,,,,,0
11811,13972017,,275,,,,,,0
253,791000,,37,AGNES ST,AGNES COURT,1977,BOSA BROTHERS,"HANSEN, POUL E.",0
125,500000,,38,AGNES ST,,1926,DAN SCHNOTER,,0
127,503000,,44,AGNES ST,,1931,John G. Russel,,0
431,1333000,,47,AGNES ST,FRASER APARTMENT,1975,RAMAGE CONSTRUCTION,"GRAY, ALAN W.",0
430,1332000,,57,AGNES ST,THE ANTHONY,1957,C.B.HOURSTON,,0
245,778501,,101,AGNES ST,,1899,HAROLD  DISNEY,,0
122,472000,,102,AGNES ST,VICTORIA HOUSE,1974,GROVESNOR-LAING CON.,ENG & WRIGHT,0
8748,778502,,107/109,AGNES ST,,1911,WILLIAM FALE,,2007
247,779000,,111,AGNES ST,LANAI LODGE,1963,W. RACANELLO,"KAFFKA, PETER",0
248,780000,,117,AGNES ST,,1946,W.E. TRACY,,0
249,781000,,119,AGNES ST,PARK WEST PLAZA,1974,PARKLAND DEVELOPMENT,"SARTER, D.M.",0
123,472000,,120,AGNES ST,VICTORIA HOUSE,1973,GROVESNOR-LAING CON.,ENG & WRIGHT,0
250,783000,,125,AGNES ST,EARL'S COURT,1962,POLARIS CONSTRUCTION,,0
251,784000,,129,AGNES ST,RUNDLE MANOR,1962,POLARIS CONSTRUCTION,,0
199,656000,,204,AGNES ST,THE FERNS,1968,RYBACK,"KAFFKA, PETER",0
198,654000,,210,AGNES ST,ELLIOT MANOR,1963,DAWSON HOLDINGS,SCOTT & FURNADJIEFF,0
